Region;Subregion;Country;Indicator;Source;Year;Calculation1;download;Info;Count;Nombre d'enregistrements;Ratio of persons held to prisions capacity (%);RemoveNULL;Total number of persons held;Total prison capacity
Africa;Northern Africa;Algeria;Total prison capacity;UN-CTS;2017;;;;;1;;0;;
Africa;Western Africa;Guinea-Bissau;Total prison capacity;UN-CTS;2017;;;;220;1;270,9%;1;596;220
Africa;Western Africa;Nigeria;Total prison capacity;UN-CTS;2017;;;;;1;;0;;
Africa;Eastern Africa;Kenya;Total prison capacity;UN-CTS;2018;;;;;1;;0;;
Africa;Eastern Africa;Mauritius;Total prison capacity;UN-CTS;2018;;;;;1;;0;;
Africa;Eastern Africa;Zimbabwe;Total prison capacity;UN-CTS;2018;;;;;1;;0;;
Africa;Middle Africa;Cameroon;Total prison capacity;UN-CTS;2018;;;;;1;;0;;
Africa;Northern Africa;Algeria;Total prison capacity;UN-CTS;2018;;;;;1;;0;;
Africa;Western Africa;Guinea-Bissau;Total prison capacity;UN-CTS;2018;;;;;1;;0;;
Africa;Western Africa;Nigeria;Total prison capacity;UN-CTS;2018;;;;;1;;0;;
Americas;Caribbean;Barbados;Total prison capacity;UN-CTS;2006;;;;;1;;0;;
Americas;Caribbean;Dominica;Total prison capacity;UN-CTS;2006;;;;;1;;0;;
Americas;Caribbean;Dominican Republic;Total prison capacity;UN-CTS;2006;;;;8201;1;167,7%;1;13752;8201
Americas;Caribbean;Grenada;Total prison capacity;UN-CTS;2006;;;;;1;;0;;
Americas;Central America;Belize;Total prison capacity;UN-CTS;2006;;;;1500;1;89,2%;1;1338;1500
Americas;Central America;Costa Rica;Total prison capacity;UN-CTS;2006;;;;8314;1;92,8%;1;7712;8314
Americas;Central America;Honduras;Total prison capacity;UN-CTS;2006;;;;;1;;0;;
Americas;Central America;Mexico;Total prison capacity;UN-CTS;2006;;;;171488;1;123,2%;1;211308;171488
Americas;Central America;Panama;Total prison capacity;UN-CTS;2006;;;;7271;1;167,6%;1;12189;7271
Americas;Northern America;Bermuda;Total prison capacity;UN-CTS;2006;;;;;1;;0;;
Americas;Northern America;Canada;Total prison capacity;UN-CTS;2006;;;;37369;1;100,2%;1;37452;37369
Americas;Northern America;United States of America;Total prison capacity;UN-CTS;2006;;;;2013400;1;112,1%;1;2256600;2013400
Americas;South America;Argentina;Total prison capacity;UN-CTS;2006;;;;46494;1;116,1%;1;54000;46494
Americas;South America;Brazil;Total prison capacity;UN-CTS;2006;;;;242294;1;165,6%;1;401236;242294
Americas;South America;Chile;Total prison capacity;UN-CTS;2006;;;;26460;1;160,7%;1;42532;26460
Americas;South America;Colombia;Total prison capacity;UN-CTS;2006;;;;52414;1;114,5%;1;60021;52414
Americas;South America;Ecuador;Total prison capacity;UN-CTS;2006;;;;;1;;0;;
Americas;South America;Guyana;Total prison capacity;UN-CTS;2006;;;;1550;1;120,1%;1;1861;1550
Americas;South America;Peru;Total prison capacity;UN-CTS;2006;;;;21226;1;168,8%;1;35835;21226
Americas;Caribbean;Barbados;Total prison capacity;UN-CTS;2007;;;;1250;1;80,8%;1;1010;1250
Americas;Caribbean;Dominica;Total prison capacity;UN-CTS;2007;;;;;1;;0;;
Americas;Caribbean;Dominican Republic;Total prison capacity;UN-CTS;2007;;;;;1;;0;;
Americas;Caribbean;Grenada;Total prison capacity;UN-CTS;2007;;;;;1;;0;;
Americas;Central America;Belize;Total prison capacity;UN-CTS;2007;;;;;1;;0;;
Americas;Central America;Costa Rica;Total prison capacity;UN-CTS;2007;;;;8140;1;92,1%;1;7500;8140
Americas;Central America;Honduras;Total prison capacity;UN-CTS;2007;;;;;1;;0;;
Americas;Central America;Mexico;Total prison capacity;UN-CTS;2007;;;;;1;;0;;
Americas;Central America;Panama;Total prison capacity;UN-CTS;2007;;;;7164;1;168,4%;1;12065;7164
Americas;Northern America;Bermuda;Total prison capacity;UN-CTS;2007;;;;;1;;0;;
Americas;Northern America;Canada;Total prison capacity;UN-CTS;2007;;;;38058;1;100,9%;1;38419;38058
Americas;Northern America;United States of America;Total prison capacity;UN-CTS;2007;;;;2045900;1;112,2%;1;2296400;2045900
Americas;South America;Argentina;Total prison capacity;UN-CTS;2007;;;;49322;1;106,4%;1;52457;49322
Americas;South America;Brazil;Total prison capacity;UN-CTS;2007;;;;275194;1;153,6%;1;422590;275194
Americas;South America;Chile;Total prison capacity;UN-CTS;2007;;;;33487;1;143,6%;1;48090;33487
Americas;South America;Colombia;Total prison capacity;UN-CTS;2007;;;;52555;1;121,0%;1;63603;52555
Americas;South America;Ecuador;Total prison capacity;UN-CTS;2007;;;;;1;;0;;
Americas;South America;Guyana;Total prison capacity;UN-CTS;2007;;;;1550;1;140,1%;1;2171;1550
Americas;South America;Peru;Total prison capacity;UN-CTS;2007;;;;22478;1;176,5%;1;39684;22478
Americas;Caribbean;Barbados;Total prison capacity;UN-CTS;2008;;;;1250;1;83,7%;1;1046;1250
Americas;Caribbean;Dominica;Total prison capacity;UN-CTS;2008;;;;;1;;0;;
Americas;Caribbean;Dominican Republic;Total prison capacity;UN-CTS;2008;;;;;1;;0;;
Americas;Caribbean;Grenada;Total prison capacity;UN-CTS;2008;;;;;1;;0;;
Americas;Central America;Belize;Total prison capacity;UN-CTS;2008;;;;;1;;0;;
Americas;Central America;Costa Rica;Total prison capacity;UN-CTS;2008;;;;8140;1;101,0%;1;8225;8140
Americas;Central America;Honduras;Total prison capacity;UN-CTS;2008;;;;;1;;0;;
Americas;Central America;Mexico;Total prison capacity;UN-CTS;2008;;;;;1;;0;;
Americas;Central America;Panama;Total prison capacity;UN-CTS;2008;;;;7145;1;143,0%;1;10217;7145
Americas;Northern America;Bermuda;Total prison capacity;UN-CTS;2008;;;;;1;;0;;
Americas;Northern America;Canada;Total prison capacity;UN-CTS;2008;;;;38812;1;100,6%;1;39050;38812
Americas;Northern America;United States of America;Total prison capacity;UN-CTS;2008;;;;2114000;1;109,3%;1;2310300;2114000
Americas;South America;Argentina;Total prison capacity;UN-CTS;2008;;;;53044;1;102,8%;1;54537;53044
Americas;South America;Brazil;Total prison capacity;UN-CTS;2008;;;;296428;1;152,2%;1;451219;296428
Americas;South America;Chile;Total prison capacity;UN-CTS;2008;;;;36853;1;145,3%;1;53541;36853
Americas;South America;Colombia;Total prison capacity;UN-CTS;2008;;;;55219;1;126,7%;1;69979;55219
Americas;South America;Ecuador;Total prison capacity;UN-CTS;2008;;;;;1;;0;;
Americas;South America;Guyana;Total prison capacity;UN-CTS;2008;;;;1550;1;136,6%;1;2117;1550
Americas;South America;Peru;Total prison capacity;UN-CTS;2008;;;;23738;1;182,3%;1;43286;23738
Americas;Caribbean;Barbados;Total prison capacity;UN-CTS;2009;;;;1370;1;65,5%;1;898;1370
Americas;Caribbean;Dominica;Total prison capacity;UN-CTS;2009;;;;;1;;0;;
Americas;Caribbean;Dominican Republic;Total prison capacity;UN-CTS;2009;;;;;1;;0;;
Americas;Caribbean;Grenada;Total prison capacity;UN-CTS;2009;;;;200;1;204,5%;1;409;200
Americas;Central America;Belize;Total prison capacity;UN-CTS;2009;;;;1700;1;163,6%;1;2781;1700
Americas;Central America;Costa Rica;Total prison capacity;UN-CTS;2009;;;;8590;1;109,8%;1;9431;8590
Americas;Central America;Honduras;Total prison capacity;UN-CTS;2009;;;;;1;;0;;
Americas;Central America;Mexico;Total prison capacity;UN-CTS;2009;;;;179623;1;103,9%;1;186614;179623
Americas;Central America;Panama;Total prison capacity;UN-CTS;2009;;;;7471;1;145,6%;1;10878;7471
Americas;Northern America;Bermuda;Total prison capacity;UN-CTS;2009;;;;;1;;0;;
Americas;Northern America;Canada;Total prison capacity;UN-CTS;2009;;;;41538;1;93,4%;1;38804;41538
Americas;Northern America;United States of America;Total prison capacity;UN-CTS;2009;;;;2138100;1;107,5%;1;2297700;2138100
Americas;South America;Argentina;Total prison capacity;UN-CTS;2009;;;;56002;1;102,5%;1;57403;56002
Americas;South America;Brazil;Total prison capacity;UN-CTS;2009;;;;278726;1;176,3%;1;491482;278726
Americas;South America;Chile;Total prison capacity;UN-CTS;2009;;;;37206;1;156,0%;1;58044;37206
Americas;South America;Colombia;Total prison capacity;UN-CTS;2009;;;;55804;1;136,2%;1;75992;55804
Americas;South America;Ecuador;Total prison capacity;UN-CTS;2009;;;;9923;1;;0;;9923
Americas;South America;Guyana;Total prison capacity;UN-CTS;2009;;;;1550;1;140,6%;1;2179;1550
Americas;South America;Peru;Total prison capacity;UN-CTS;2009;;;;24561;1;180,8%;1;44406;24561
Americas;Caribbean;Barbados;Total prison capacity;UN-CTS;2010;;;;1250;1;72,8%;1;910;1250
Americas;Caribbean;Dominica;Total prison capacity;UN-CTS;2010;;;;;1;;0;;
Americas;Caribbean;Dominican Republic;Total prison capacity;UN-CTS;2010;;;;;1;;0;;
Americas;Caribbean;Grenada;Total prison capacity;UN-CTS;2010;;;;200;1;219,0%;1;438;200
Americas;Central America;Belize;Total prison capacity;UN-CTS;2010;;;;;1;;0;;
Americas;Central America;Costa Rica;Total prison capacity;UN-CTS;2010;;;;8536;1;123,5%;1;10541;8536
Americas;Central America;Honduras;Total prison capacity;UN-CTS;2010;;;;7304;1;161,1%;1;11770;7304
Americas;Central America;Mexico;Total prison capacity;UN-CTS;2010;;;;190629;1;98,6%;1;188013;190629
Americas;Central America;Panama;Total prison capacity;UN-CTS;2010;;;;8648;1;145,0%;1;12542;8648
Americas;Northern America;Bermuda;Total prison capacity;UN-CTS;2010;;;;;1;;0;;
Americas;Northern America;Canada;Total prison capacity;UN-CTS;2010;;;;42162;1;93,7%;1;39489;42162
Americas;Northern America;United States of America;Total prison capacity;UN-CTS;2010;;;;2148500;1;106,1%;1;2279100;2148500
Americas;South America;Argentina;Total prison capacity;UN-CTS;2010;;;;58211;1;101,7%;1;59227;58211
Americas;South America;Brazil;Total prison capacity;UN-CTS;2010;;;;281520;1;182,6%;1;513954;281520
Americas;South America;Chile;Total prison capacity;UN-CTS;2010;;;;36992;1;162,6%;1;60148;36992
Americas;South America;Colombia;Total prison capacity;UN-CTS;2010;;;;68982;1;122,4%;1;84444;68982
Americas;South America;Ecuador;Total prison capacity;UN-CTS;2010;;;;10573;1;111,6%;1;11800;10573
Americas;South America;Guyana;Total prison capacity;UN-CTS;2010;;;;1550;1;139,4%;1;2160;1550
Americas;South America;Peru;Total prison capacity;UN-CTS;2010;;;;27551;1;165,0%;1;45464;27551
Americas;Caribbean;Barbados;Total prison capacity;UN-CTS;2011;;;;1250;1;84,8%;1;1060;1250
Americas;Caribbean;Dominica;Total prison capacity;UN-CTS;2011;;;;;1;;0;;
Americas;Caribbean;Dominican Republic;Total prison capacity;UN-CTS;2011;;;;12635;1;173,1%;1;21875;12635
Americas;Caribbean;Grenada;Total prison capacity;UN-CTS;2011;;;;200;1;228,5%;1;457;200
Americas;Central America;Belize;Total prison capacity;UN-CTS;2011;;;;;1;;0;;
Americas;Central America;Costa Rica;Total prison capacity;UN-CTS;2011;;;;9297;1;130,7%;1;12154;9297
Americas;Central America;Honduras;Total prison capacity;UN-CTS;2011;;;;7304;1;164,4%;1;12006;7304
Americas;Central America;Mexico;Total prison capacity;UN-CTS;2011;;;;195055;1;109,6%;1;213758;195055
Americas;Central America;Panama;Total prison capacity;UN-CTS;2011;;;;8648;1;152,7%;1;13207;8648
Americas;Northern America;Bermuda;Total prison capacity;UN-CTS;2011;;;;;1;;0;;
Americas;Northern America;Canada;Total prison capacity;UN-CTS;2011;;;;39936;1;100,7%;1;40229;39936
Americas;Northern America;United States of America;Total prison capacity;UN-CTS;2011;;;;2158400;1;104,4%;1;2252500;2158400
Americas;South America;Argentina;Total prison capacity;UN-CTS;2011;;;;60122;1;101,1%;1;60789;60122
Americas;South America;Brazil;Total prison capacity;UN-CTS;2011;;;;295413;1;181,0%;1;534605;295413
Americas;South America;Chile;Total prison capacity;UN-CTS;2011;;;;38037;1;155,8%;1;59261;38037
Americas;South America;Colombia;Total prison capacity;UN-CTS;2011;;;;75620;1;132,8%;1;100451;75620
Americas;South America;Ecuador;Total prison capacity;UN-CTS;2011;;;;11438;1;;0;;11438
Americas;South America;Guyana;Total prison capacity;UN-CTS;2011;;;;1721;1;118,2%;1;2035;1721
Americas;South America;Peru;Total prison capacity;UN-CTS;2011;;;;28492;1;172,7%;1;49206;28492
Americas;Caribbean;Barbados;Total prison capacity;UN-CTS;2012;;;;1250;1;83,6%;1;1045;1250
Americas;Caribbean;Dominica;Total prison capacity;UN-CTS;2012;;;;;1;;0;;
Americas;Caribbean;Dominican Republic;Total prison capacity;UN-CTS;2012;;;;;1;;0;;
Americas;Caribbean;Grenada;Total prison capacity;UN-CTS;2012;;;;200;1;244,5%;1;489;200
Americas;Central America;Belize;Total prison capacity;UN-CTS;2012;;;;;1;;0;;
Americas;Central America;Costa Rica;Total prison capacity;UN-CTS;2012;;;;9803;1;136,8%;1;13407;9803
Americas;Central America;Honduras;Total prison capacity;UN-CTS;2012;;;;7304;1;165,6%;1;12095;7304
Americas;Central America;Mexico;Total prison capacity;UN-CTS;2012;;;;195484;1;106,0%;1;207278;195484
Americas;Central America;Panama;Total prison capacity;UN-CTS;2012;;;;8648;1;167,4%;1;14481;8648
Americas;Northern America;Bermuda;Total prison capacity;UN-CTS;2012;;;;;1;;0;;
Americas;Northern America;Canada;Total prison capacity;UN-CTS;2012;;;;41358;1;98,5%;1;40718;41358
Americas;Northern America;United States of America;Total prison capacity;UN-CTS;2012;;;;2168428;1;102,9%;1;2231400;2168428
Americas;South America;Argentina;Total prison capacity;UN-CTS;2012;;;;61608;1;101,1%;1;62263;61608
Americas;South America;Brazil;Total prison capacity;UN-CTS;2012;;;;310687;1;183,6%;1;570318;310687
Americas;South America;Chile;Total prison capacity;UN-CTS;2012;;;;42602;1;132,3%;1;56372;42602
Americas;South America;Colombia;Total prison capacity;UN-CTS;2012;;;;75726;1;150,4%;1;113884;75726
Americas;South America;Ecuador;Total prison capacity;UN-CTS;2012;;;;12536;1;170,0%;1;21305;12536
Americas;South America;Guyana;Total prison capacity;UN-CTS;2012;;;;1550;1;131,1%;1;2032;1550
Americas;South America;Peru;Total prison capacity;UN-CTS;2012;;;;29043;1;211,4%;1;61390;29043
Americas;Caribbean;Barbados;Total prison capacity;UN-CTS;2013;;;;1250;1;72,6%;1;908;1250
Americas;Caribbean;Dominica;Total prison capacity;UN-CTS;2013;;;;;1;;0;;
Americas;Caribbean;Dominican Republic;Total prison capacity;UN-CTS;2013;;;;;1;;0;;
Americas;Caribbean;Grenada;Total prison capacity;UN-CTS;2013;;;;200;1;240,0%;1;480;200
Americas;Central America;Belize;Total prison capacity;UN-CTS;2013;;;;;1;;0;;
Americas;Central America;Costa Rica;Total prison capacity;UN-CTS;2013;;;;9791;1;139,4%;1;13647;9791
Americas;Central America;Honduras;Total prison capacity;UN-CTS;2013;;;;7304;1;180,5%;1;13184;7304
Americas;Central America;Mexico;Total prison capacity;UN-CTS;2013;;;;202010;1;108,1%;1;218373;202010
Americas;Central America;Panama;Total prison capacity;UN-CTS;2013;;;;8566;1;168,9%;1;14467;8566
Americas;Northern America;Bermuda;Total prison capacity;UN-CTS;2013;;;;377;1;;0;;377
Americas;Northern America;Canada;Total prison capacity;UN-CTS;2013;;;;38650;1;98,0%;1;37864;38650
Americas;Northern America;United States of America;Total prison capacity;UN-CTS;2013;;;;2157769;1;103,4%;1;2231400;2157769
Americas;South America;Argentina;Total prison capacity;UN-CTS;2013;;;;65775;1;97,7%;1;64288;65775
Americas;South America;Brazil;Total prison capacity;UN-CTS;2013;;;;341253;1;177,6%;1;606208;341253
Americas;South America;Chile;Total prison capacity;UN-CTS;2013;;;;42591;1;124,6%;1;53050;42591
Americas;South America;Colombia;Total prison capacity;UN-CTS;2013;;;;76066;1;157,8%;1;120032;76066
Americas;South America;Ecuador;Total prison capacity;UN-CTS;2013;;;;17014;1;149,8%;1;25494;17014
Americas;South America;Guyana;Total prison capacity;UN-CTS;2013;;;;1550;1;128,9%;1;1998;1550
Americas;South America;Peru;Total prison capacity;UN-CTS;2013;;;;31286;1;221,7%;1;69353;31286
Americas;Caribbean;Barbados;Total prison capacity;UN-CTS;2014;;;;1274;1;67,8%;1;864;1274
Americas;Caribbean;Dominica;Total prison capacity;UN-CTS;2014;;;;187;1;100,0%;1;187;187
Americas;Caribbean;Dominican Republic;Total prison capacity;UN-CTS;2014;;;;;1;;0;;
Americas;Caribbean;Grenada;Total prison capacity;UN-CTS;2014;;;;200;1;256,5%;1;513;200
Americas;Central America;Belize;Total prison capacity;UN-CTS;2014;;;;2000;1;130,3%;1;2606;2000
Americas;Central America;Costa Rica;Total prison capacity;UN-CTS;2014;;;;9296;1;149,0%;1;13854;9296
Americas;Central America;Honduras;Total prison capacity;UN-CTS;2014;;;;8627;1;172,5%;1;14882;8627
Americas;Central America;Mexico;Total prison capacity;UN-CTS;2014;;;;181424;1;125,7%;1;228021;181424
Americas;Central America;Panama;Total prison capacity;UN-CTS;2014;;;;8566;1;183,2%;1;15690;8566
Americas;Northern America;Bermuda;Total prison capacity;UN-CTS;2014;;;;377;1;61,0%;1;230;377
Americas;Northern America;Canada;Total prison capacity;UN-CTS;2014;;;;39422;1;103,1%;1;40663;39422
Americas;Northern America;United States of America;Total prison capacity;UN-CTS;2014;;;;2159800;1;103,0%;1;2225100;2159800
Americas;South America;Argentina;Total prison capacity;UN-CTS;2014;;;;66239;1;104,3%;1;69060;66239
Americas;South America;Brazil;Total prison capacity;UN-CTS;2014;;;;341253;1;178,1%;1;607731;341253
Americas;South America;Chile;Total prison capacity;UN-CTS;2014;;;;42583;1;112,0%;1;47683;42583
Americas;South America;Colombia;Total prison capacity;UN-CTS;2014;;;;77874;1;145,9%;1;113623;77874
Americas;South America;Ecuador;Total prison capacity;UN-CTS;2014;;;;24029;1;100,0%;1;24036;24029
Americas;South America;Guyana;Total prison capacity;UN-CTS;2014;;;;1460;1;;0;;1460
Americas;South America;Peru;Total prison capacity;UN-CTS;2014;;;;32190;1;229,4%;1;73846;32190
Americas;Caribbean;Barbados;Total prison capacity;UN-CTS;2015;;;;1274;1;74,9%;1;954;1274
Americas;Caribbean;Dominica;Total prison capacity;UN-CTS;2015;;;;181;1;100,0%;1;181;181
Americas;Caribbean;Dominican Republic;Total prison capacity;UN-CTS;2015;;;;;1;;0;;
Americas;Caribbean;Grenada;Total prison capacity;UN-CTS;2015;;;;200;1;251,0%;1;502;200
Americas;Central America;Belize;Total prison capacity;UN-CTS;2015;;;;;1;;0;;
Americas;Central America;Costa Rica;Total prison capacity;UN-CTS;2015;;;;9406;1;148,8%;1;13999;9406
Americas;Central America;Honduras;Total prison capacity;UN-CTS;2015;;;;8628;1;187,3%;1;16158;8628
Americas;Central America;Mexico;Total prison capacity;UN-CTS;2015;;;;177754;1;124,6%;1;221439;177754
Americas;Central America;Panama;Total prison capacity;UN-CTS;2015;;;;14180;1;118,6%;1;16824;14180
Americas;Northern America;Bermuda;Total prison capacity;UN-CTS;2015;;;;;1;;0;;
Americas;Northern America;Canada;Total prison capacity;UN-CTS;2015;;;;44752;1;92,0%;1;41169;44752
Americas;Northern America;United States of America;Total prison capacity;UN-CTS;2015;;;;2175900;1;99,9%;1;2172800;2175900
Americas;South America;Argentina;Total prison capacity;UN-CTS;2015;;;;67297;1;108,0%;1;72693;67297
Americas;South America;Brazil;Total prison capacity;UN-CTS;2015;;;;371884;1;187,9%;1;698618;371884
Americas;South America;Chile;Total prison capacity;UN-CTS;2015;;;;42917;1;107,7%;1;46235;42917
Americas;South America;Colombia;Total prison capacity;UN-CTS;2015;;;;77953;1;154,5%;1;120444;77953
Americas;South America;Ecuador;Total prison capacity;UN-CTS;2015;;;;26517;1;107,0%;1;28379;26517
Americas;South America;Guyana;Total prison capacity;UN-CTS;2015;;;;1460;1;136,8%;1;1998;1460
Americas;South America;Peru;Total prison capacity;UN-CTS;2015;;;;32986;1;240,1%;1;79185;32986
Americas;Caribbean;Barbados;Total prison capacity;UN-CTS;2016;;;;1274;1;71,7%;1;913;1274
Americas;Caribbean;Dominica;Total prison capacity;UN-CTS;2016;;;;204;1;99,5%;1;203;204
Americas;Caribbean;Dominican Republic;Total prison capacity;UN-CTS;2016;;;;;1;;0;;
Americas;Caribbean;Grenada;Total prison capacity;UN-CTS;2016;;;;200;1;228,5%;1;457;200
Americas;Central America;Belize;Total prison capacity;UN-CTS;2016;;;;;1;;0;;
Americas;Central America;Costa Rica;Total prison capacity;UN-CTS;2016;;;;;1;;0;;
Americas;Central America;Honduras;Total prison capacity;UN-CTS;2016;;;;;1;;0;;
Americas;Central America;Mexico;Total prison capacity;UN-CTS;2016;;;;179208;1;106,1%;1;190175;179208
Americas;Central America;Panama;Total prison capacity;UN-CTS;2016;;;;;1;;0;;
Americas;Northern America;Bermuda;Total prison capacity;UN-CTS;2016;;;;;1;;0;;
Americas;Northern America;Canada;Total prison capacity;UN-CTS;2016;;;;45272;1;90,1%;1;40770;45272
Americas;Northern America;United States of America;Total prison capacity;UN-CTS;2016;;;;2165000;1;99,9%;1;2162400;2165000
Americas;South America;Argentina;Total prison capacity;UN-CTS;2016;;;;67911;1;112,3%;1;76261;67911
Americas;South America;Brazil;Total prison capacity;UN-CTS;2016;;;;;1;;0;;
Americas;South America;Chile;Total prison capacity;UN-CTS;2016;;;;42380;1;111,6%;1;47305;42380
Americas;South America;Colombia;Total prison capacity;UN-CTS;2016;;;;;1;;0;;
Americas;South America;Ecuador;Total prison capacity;UN-CTS;2016;;;;25580;1;135,5%;1;34665;25580
Americas;South America;Guyana;Total prison capacity;UN-CTS;2016;;;;;1;;0;;
Americas;South America;Peru;Total prison capacity;UN-CTS;2016;;;;35126;1;239,7%;1;84191;35126
Americas;Caribbean;Barbados;Total prison capacity;UN-CTS;2017;;;;1274;1;69,5%;1;885;1274
Americas;Caribbean;Dominica;Total prison capacity;UN-CTS;2017;;;;191;1;99,5%;1;190;191
Americas;Caribbean;Dominican Republic;Total prison capacity;UN-CTS;2017;;;;;1;;0;;
Americas;Caribbean;Grenada;Total prison capacity;UN-CTS;2017;;;;200;1;221,0%;1;442;200
Americas;Central America;Belize;Total prison capacity;UN-CTS;2017;;;;;1;;0;;
Americas;Central America;Costa Rica;Total prison capacity;UN-CTS;2017;;;;10783;1;131,9%;1;14224;10783
Americas;Central America;Honduras;Total prison capacity;UN-CTS;2017;;;;12364;1;156,4%;1;19335;12364
Americas;Central America;Mexico;Total prison capacity;UN-CTS;2017;;;;145948;1;124,7%;1;181999;145948
Americas;Central America;Panama;Total prison capacity;UN-CTS;2017;;;;;1;;0;;
Americas;Northern America;Bermuda;Total prison capacity;UN-CTS;2017;;;;348;1;57,5%;1;200;348
Americas;Northern America;Canada;Total prison capacity;UN-CTS;2017;;;;;1;;0;;
Americas;Northern America;United States of America;Total prison capacity;UN-CTS;2017;;;;;1;;0;;
Americas;South America;Argentina;Total prison capacity;UN-CTS;2017;;;;74060;1;115,2%;1;85283;74060
Americas;South America;Brazil;Total prison capacity;UN-CTS;2017;;;;;1;;0;;
Americas;South America;Chile;Total prison capacity;UN-CTS;2017;;;;42491;1;108,0%;1;45910;42491
Americas;South America;Colombia;Total prison capacity;UN-CTS;2017;;;;79211;1;144,9%;1;114750;79211
Americas;South America;Ecuador;Total prison capacity;UN-CTS;2017;;;;27771;1;134,4%;1;37316;27771
Americas;South America;Guyana;Total prison capacity;UN-CTS;2017;;;;1505;1;147,9%;1;2226;1505
Americas;South America;Peru;Total prison capacity;UN-CTS;2017;;;;39158;1;219,1%;1;85811;39158
Americas;Caribbean;Barbados;Total prison capacity;UN-CTS;2018;;;;;1;;0;;
Americas;Caribbean;Dominica;Total prison capacity;UN-CTS;2018;;;;;1;;0;;
Americas;Caribbean;Dominican Republic;Total prison capacity;UN-CTS;2018;;;;;1;;0;;
Americas;Caribbean;Grenada;Total prison capacity;UN-CTS;2018;;;;;1;;0;;
Americas;Central America;Belize;Total prison capacity;UN-CTS;2018;;;;;1;;0;;
Americas;Central America;Costa Rica;Total prison capacity;UN-CTS;2018;;;;;1;;0;;
Americas;Central America;Honduras;Total prison capacity;UN-CTS;2018;;;;;1;;0;;
Americas;Central America;Mexico;Total prison capacity;UN-CTS;2018;;;;;1;;0;;
Americas;Central America;Panama;Total prison capacity;UN-CTS;2018;;;;;1;;0;;
Americas;Northern America;Bermuda;Total prison capacity;UN-CTS;2018;;;;;1;;0;;
Americas;Northern America;Canada;Total prison capacity;UN-CTS;2018;;;;;1;;0;;
Americas;Northern America;United States of America;Total prison capacity;UN-CTS;2018;;;;;1;;0;;
Americas;South America;Argentina;Total prison capacity;UN-CTS;2018;;;;;1;;0;;
Americas;South America;Brazil;Total prison capacity;UN-CTS;2018;;;;;1;;0;;
Americas;South America;Chile;Total prison capacity;UN-CTS;2018;;;;;1;;0;;
Americas;South America;Colombia;Total prison capacity;UN-CTS;2018;;;;;1;;0;;
Americas;South America;Ecuador;Total prison capacity;UN-CTS;2018;;;;;1;;0;;
Americas;South America;Guyana;Total prison capacity;UN-CTS;2018;;;;;1;;0;;
Americas;South America;Peru;Total prison capacity;UN-CTS;2018;;;;;1;;0;;
Asia;Central Asia;Kazakhstan;Total prison capacity;UN-CTS;2006;;;;88395;1;58,3%;1;51544;88395
Asia;Central Asia;Turkmenistan;Total prison capacity;UN-CTS;2006;;;;12882;1;85,0%;1;10953;12882
Asia;Eastern Asia;China, Hong Kong SAR;Total prison capacity;UN-CTS;2006;;;;11918;1;97,7%;1;11640;11918
Asia;Eastern Asia;China, Macao SAR;Total prison capacity;UN-CTS;2006;;;;;1;;0;;
Asia;Eastern Asia;Japan;Total prison capacity;UN-CTS;2006;;;;79375;1;102,4%;1;81255;79375
Asia;Eastern Asia;Mongolia;Total prison capacity;UN-CTS;2006;;;;5425;1;124,2%;1;6740;5425
Asia;Eastern Asia;Republic of Korea;Total prison capacity;UN-CTS;2006;;;;47390;1;96,3%;1;45651;47390
Asia;South-eastern Asia;Indonesia;Total prison capacity;UN-CTS;2006;;;;;1;;0;;
Asia;South-eastern Asia;Philippines;Total prison capacity;UN-CTS;2006;;;;19156;1;476,1%;1;91200;19156
Asia;South-eastern Asia;Singapore;Total prison capacity;UN-CTS;2006;;;;13876;1;92,0%;1;12761;13876
Asia;South-eastern Asia;Thailand;Total prison capacity;UN-CTS;2006;;;;211992;1;71,5%;1;151586;211992
Asia;Southern Asia;Bangladesh;Total prison capacity;UN-CTS;2006;;;;27254;1;242,9%;1;66200;27254
Asia;Southern Asia;Sri Lanka;Total prison capacity;UN-CTS;2006;;;;;1;;0;;
Asia;Western Asia;Armenia;Total prison capacity;UN-CTS;2006;;;;4301;1;71,7%;1;3083;4301
Asia;Western Asia;Azerbaijan;Total prison capacity;UN-CTS;2006;;;;21420;1;87,1%;1;18656;21420
Asia;Western Asia;Cyprus;Total prison capacity;UN-CTS;2006;;;;370;1;156,2%;1;578;370
Asia;Western Asia;Georgia;Total prison capacity;UN-CTS;2006;;;;11990;1;129,0%;1;15464;11990
Asia;Western Asia;Iraq (Central Iraq);Total prison capacity;UN-CTS;2006;;;;;1;;0;;
Asia;Western Asia;Iraq (Kurdistan Region);Total prison capacity;UN-CTS;2006;;;;;1;;0;;
Asia;Western Asia;Israel;Total prison capacity;UN-CTS;2006;;;;21144;1;97,5%;1;20617;21144
Asia;Western Asia;Jordan;Total prison capacity;UN-CTS;2006;;;;7333;1;84,1%;1;6166;7333
Asia;Western Asia;State of Palestine;Total prison capacity;UN-CTS;2006;;;;;1;;0;;
Asia;Western Asia;Syrian Arab Republic;Total prison capacity;UN-CTS;2006;;;;;1;;0;;
Asia;Western Asia;Turkey;Total prison capacity;UN-CTS;2006;;;;74140;1;95,1%;1;70524;74140
